0.000000	0.000000	0.000000
0.100000	0.001842	0.000778
0.300000	0.005505	0.002386
0.500000	0.010947	0.004912
0.700000	0.018124	0.008447
0.900000	0.026997	0.013060
1.100000	0.037526	0.018815
1.300000	0.049676	0.025770
1.500000	0.062551	0.033467
1.700000	0.076135	0.041922
1.900000	0.090410	0.051153
2.100000	0.105363	0.061174
2.300000	0.120979	0.071996
2.500000	0.137250	0.083627
2.700000	0.154161	0.096077
2.899999	0.171703	0.109354
3.099999	0.189870	0.123460
3.299999	0.208652	0.138401
3.499999	0.228821	0.154809
3.699999	0.250361	0.172698
3.899998	0.273258	0.192082
4.099998	0.297500	0.212970
4.299998	0.323074	0.235374
4.499998	0.349974	0.259299
4.699998	0.378191	0.284751
4.899998	0.407720	0.311733
5.099998	0.438552	0.340254
5.299997	0.470684	0.370312
5.499997	0.504112	0.401912
5.699997	0.538838	0.435050
5.899997	0.574859	0.469726
6.099997	0.612177	0.505940
6.299996	0.650791	0.543688
6.499996	0.690699	0.582973
6.699996	0.731904	0.623792
6.899996	0.774412	0.666137
7.099996	0.818222	0.710008
7.299995	0.863335	0.755404
7.499995	0.909759	0.802317
7.699995	0.957497	0.850743
7.899995	1.006552	0.900679
8.099995	1.056928	0.952121
8.299995	1.108629	1.005064
8.499996	1.161661	1.059502
8.699997	1.215962	1.115497
8.899998	1.271484	1.173092
9.099998	1.328199	1.232316
9.299999	1.386053	1.293217
9.500000	1.444979	1.355857
9.700001	1.504916	1.420289
9.900002	1.565824	1.486548
10.100002	1.627883	1.554464
10.300003	1.691183	1.623955
10.500004	1.755495	1.695230
10.700005	1.820534	1.768536
10.900005	1.886127	1.844018
11.100006	1.950899	1.920206
11.300007	2.014830	1.997101
11.500008	2.077763	2.074815
11.700008	2.139563	2.153432
11.900009	2.200148	2.232990
12.100010	2.259448	2.313510
12.300011	2.317434	2.394982
12.500011	2.374075	2.477394
12.700012	2.429356	2.560724
12.900013	2.483263	2.644950
13.100014	2.535796	2.730040
13.300014	2.586926	2.815980
13.500015	2.636609	2.902765
13.700016	2.684785	2.990395
13.900017	2.731409	3.078861
14.100018	2.776419	3.168159
14.300018	2.819739	3.258289
14.500019	2.861241	3.349270
14.700020	2.901004	3.441024
14.900021	2.939031	3.533512
15.100021	2.975292	3.626706
15.300022	3.009806	3.720561
15.500023	3.042529	3.815055
15.700024	3.073481	3.910144
15.900024	3.102636	4.005800
16.100025	3.129999	4.101983
16.300026	3.155545	4.198665
16.500027	3.179280	4.295807
16.700027	3.201623	4.393279
16.900028	3.222978	4.490972
17.100029	3.243292	4.588887
17.300030	3.262631	4.686999
17.500031	3.281456	4.785211
17.700031	3.300212	4.883436
17.900032	3.319329	4.981592
18.100033	3.339079	5.079622
18.300034	3.358829	5.177652
18.500034	3.378270	5.275744
18.700035	3.397198	5.373936
18.900036	3.415475	5.472252
19.100037	3.432996	5.570705
19.300037	3.449708	5.669298
19.500038	3.465560	5.768034
19.700039	3.480532	5.866906
19.900040	3.494606	5.965911
20.100040	3.507799	6.065037
20.300041	3.520091	6.164279
20.500042	3.531500	6.263626
20.700043	3.542024	6.363070
20.900043	3.551627	6.462608
21.100044	3.560240	6.562236
21.300045	3.567757	6.661953
21.500046	3.574055	6.761755
21.700047	3.578942	6.861635
21.900047	3.582137	6.961584
22.100048	3.583238	7.061578
22.300049	3.582489	7.161575
22.500050	3.580380	7.261552
22.700050	3.576403	7.361473
22.900051	3.571119	7.461333
23.100052	3.565086	7.561151
23.300053	3.558809	7.660954
23.500053	3.552793	7.760772
23.700054	3.547527	7.860633
23.900055	3.543481	7.960551
24.100056	3.541092	8.060523
24.300056	3.540536	8.160522
24.500057	3.541795	8.260513
24.700058	3.545217	8.360455
24.900059	3.551272	8.460271
25.100060	3.560407	8.559853
25.300060	3.573029	8.659053
25.500061	3.589485	8.757689
25.700062	3.609646	8.855636
25.900063	3.633671	8.952706
26.100063	3.661958	9.048622
26.300064	3.694830	9.143064
26.500065	3.732504	9.235697
26.700066	3.774720	9.326348
26.900066	3.821654	9.414650
27.100067	3.873324	9.500266
27.300068	3.929376	9.583080
27.500069	3.989490	9.662994
27.700069	4.053368	9.739933
27.900070	4.120736	9.813836
28.100071	4.191349	9.884644
28.300072	4.264972	9.952316
28.500072	4.341376	10.016833
28.700073	4.420350	10.078177
28.900074	4.501701	10.136332
29.100075	4.585235	10.191305
29.300076	4.670773	10.243106
29.500076	4.758125	10.291783
29.700077	4.847052	10.337523
29.900078	4.937348	10.380493
30.100079	5.028845	10.420846
30.300079	5.121386	10.458742
30.500080	5.214844	10.494317
30.700081	5.309103	10.527713
30.900082	5.404062	10.559061
31.100082	5.499637	10.588481
31.300083	5.595748	10.616095
31.500084	5.692332	10.642010
31.700085	5.789315	10.666388
31.900085	5.886629	10.689409
32.100082	5.984251	10.711087
32.300079	6.082162	10.731417
32.500076	6.180345	10.750395
32.700073	6.278780	10.768018
32.900070	6.377451	10.784265
33.100067	6.476337	10.799150
33.300064	6.575421	10.812653
33.500061	6.674682	10.824788
33.700058	6.774103	10.835537
33.900055	6.873662	10.844914
34.100052	6.973342	10.852901
34.300049	7.073121	10.859547
34.500046	7.172982	10.864817
34.700043	7.272918	10.868396
34.900040	7.372894	10.870596
35.100037	7.472887	10.871767
35.300034	7.572886	10.872223
35.500031	7.672886	10.872225
35.700027	7.772885	10.871825
35.900024	7.872880	10.870868
36.100021	7.972867	10.869229
36.300018	8.072837	10.866806
36.500015	8.172783	10.863528
36.700012	8.272696	10.859344
36.900009	8.372563	10.854200
